fid,extensao,consorcio,descricao_desvio,tipo_rota,direcao,destino,servico
223,23553,MOBI-Rio,,brt,0,Santa Efigênia,43
224,27143,Transcarioca,,regular,1,Ramos (Praia),940
225,10657,MOBI-Rio,,brt,1,Terminal Aroldo Melodia,90
226,24312,Internorte,,regular,1,Marechal Hermes,928
227,31981,Transcarioca,,regular,0,Terminal Gentileza,SN353
228,3895,Intersul,,regular,0,Muda,626
229,13735,Intersul,,regular,1,Terminal Gentileza,SV112
230,29802,Transcarioca,,regular,0,Saens Peña,601
231,13188,Intersul,,regular,0,Alto Gávea,112
232,34655,Internorte,,regular,0,Castelo,SR362
233,11299,Transcarioca,,regular,1,Gardênia Azul,932
234,28023,Transcarioca,,regular,1,Terminal Tanque,565
235,75715,Santa Cruz,,regular,1,Cesarão,SN388
236,19737,Intersul,,regular,1,Rocinha,SN538
237,23374,Santa Cruz,,regular,1,Bangu,794
238,19651,Internorte,,regular,1,Água Santa,239
239,28330,Internorte,,regular,0,Castelo,325
240,18632,Internorte,,regular,0,Méier,653
241,11006,MOBI-Rio,,brt,0,Terminal Deodoro,68
242,71168,Santa Cruz,,regular,0,Candelária,SN388
243,36861,Internorte,,regular,0,Praça da Bandeira,SV624
244,15460,Transcarioca,,regular,1,Terminal Taquara,900
245,18072,Intersul,,regular,1,Rocinha,539
246,31105,Transcarioca,,regular,0,Terminal Alvorada,692
247,8732,Intersul,,regular,1,Santa Alexandrina,201
248,17515,Internorte,,regular,0,Castelo,232
249,22561,Santa Cruz,,regular,0,Terminal Recreio,SV899
250,19635,Transcarioca,,regular,1,Rio das Pedras,SV863
251,23416,MOBI-Rio,,brt,1,Pingo D'Água,19
252,25158,MOBI-Rio,,brt,0,Terminal Gentileza,60
253,8605,Transcarioca,,regular,0,Irajá,712
254,43409,Santa Cruz,,regular,1,Santa Cruz,754
255,21053,Transcarioca,,regular,1,Terminal Taquara,SN954
256,40926,Internorte,,regular,1,Mariópolis,SN624
257,17961,Transcarioca,,regular,0,Madureira,775
258,79272,Santa Cruz,,frescao,1,Santa Cruz,2337
259,75606,Transcarioca,,frescao,0,Circular,2918
260,25158,Transcarioca,,regular,0,Saens Peña,645
261,18853,Transcarioca,,regular,0,Vargem Grande,817
262,16191,Transcarioca,,regular,1,Piabas,817
263,17144,Transcarioca,,regular,0,Joatinga,990
264,15244,Transcarioca,,regular,1,Merck,990
265,6177,Santa Cruz,,regular,0,Campo Grande,808
266,6846,Santa Cruz,,regular,1,Salim,808
267,22836,Santa Cruz,,regular,1,Barra de Guaratiba,899
268,20334,Santa Cruz,,regular,0,Terminal Recreio,899
269,4097,Intersul,,regular,0,Praça Saens Peña,605
270,18061,Intersul,,regular,0,Terminal Gentileza [reversível],108
271,18159,Intersul,,regular,1,Terminal Gentileza,112
272,11662,Intersul,,regular,1,Largo do Machado,SN133
273,10404,Intersul,,regular,1,Rio Comprido,202
274,12757,Intersul,,regular,0,Gamboa,222
275,13480,Intersul,,regular,1,Vila Isabel,222
276,10923,Intersul,,regular,0,Castelo,229
277,16217,Internorte,,regular,1,Lins de Vasconcelos,SN232
278,33368,Internorte,,regular,0,Castelo,SN298
279,33848,Internorte,,regular,1,Acari,SN298
280,38877,Santa Cruz,,regular,0,Candelária,SR300
281,38431,Santa Cruz,,regular,1,Terminal Sulacap,SR300
282,27695,Internorte,,regular,0,Candelária,SR328
283,28643,Internorte,,regular,1,Bananal,SR328
284,32048,Internorte,,regular,0,Castelo,SR342
285,28663,Internorte,,regular,1,Jardim América,SR342
286,37348,Transcarioca,,regular,1,Riocentro,352
287,28531,Internorte,,regular,0,Praça Tiradentes,SR355
288,29100,Internorte,,regular,1,Madureira,SR355
289,39839,Santa Cruz,,regular,1,Bangu,369
290,35621,Internorte,,regular,0,Castelo,SR378
291,36493,Internorte,,regular,1,Marechal Hermes,SR378
292,44030,Santa Cruz,,regular,0,Candelária,SR393
293,45228,Santa Cruz,,regular,1,Bangu,SR393
294,24518,Internorte,,regular,0,Copacabana,456
295,26411,Internorte,,regular,1,Norte Shopping,456
296,29812,Intersul,,regular,0,Copacabana,SN474
297,21330,Internorte,,regular,1,Irajá,SN629
298,32940,Internorte,,regular,0,Saens Peña,SN639
299,34026,Internorte,,regular,1,Jardim América,SN639
300,37524,Internorte,,regular,1,Méier,SN696
301,18181,Santa Cruz,,regular,0,Cascadura,745
302,19077,Santa Cruz,,regular,1,Bangu,745
303,18752,Santa Cruz,,regular,0,Cascadura,746
304,19430,Santa Cruz,,regular,1,Jabour,746
305,39103,Santa Cruz,,regular,0,Metrô Coelho Neto,752
306,37211,Santa Cruz,,regular,1,Conjunto dos Palmares,752
307,49185,Santa Cruz,,regular,0,Metrô Coelho Neto,756
308,48600,Santa Cruz,,regular,1,Santa Cruz,756
309,47013,Santa Cruz,,regular,0,Metrô Coelho Neto,759
310,46302,Santa Cruz,,regular,1,Cesarão,759
311,40479,Santa Cruz,,regular,0,Terminal Deodoro,SP759
312,42145,Santa Cruz,,regular,1,Cesarão,SP759
313,14520,Santa Cruz,,regular,0,Terminal Deodoro,SP918
314,17252,Santa Cruz,,regular,1,Jardim Violeta,SP918
315,29043,Santa Cruz,,regular,1,Campo Grande,770
316,25362,Santa Cruz,,regular,1,Padre Miguel,SV777
317,36245,Santa Cruz,,regular,1,Campo Grande,SV790
318,21744,Santa Cruz,,regular,0,Taquara,801
319,25628,Santa Cruz,,regular,1,Bangu,801
320,13541,Santa Cruz,,regular,0,Terminal Sulacap,SP801
321,14512,Santa Cruz,,regular,1,Bangu,SP801
322,15239,Santa Cruz,,regular,1,Terminal Campo Grande,802
323,13060,Santa Cruz,,regular,0,Bangu,802
324,25551,Santa Cruz,,regular,1,Terminal Curral Falso,LECD109
325,7103,Santa Cruz,,regular,0,Santa Cruz,809
326,7786,Santa Cruz,,regular,1,Sagrado Coração,809
327,13419,Santa Cruz,,regular,0,Circular,822
328,22678,Santa Cruz,,regular,0,Jesuítas,825
329,21131,Santa Cruz,,regular,1,Campo Grande,825
330,3269,Transcarioca,,regular,0,Freguesia,829
331,12128,Santa Cruz,,regular,0,Campo Grande,833
332,12127,Santa Cruz,,regular,1,Conjunto Manguariba,833
333,9100,Santa Cruz,,regular,0,Terminal Campo Grande,835
334,9647,Santa Cruz,,regular,1,Largo do Correia,835
335,8520,Santa Cruz,,regular,0,Conjunto da Marinha,837
336,13747,Santa Cruz,,regular,1,Terminal Campo Grande,838
337,14404,Santa Cruz,,regular,0,Terminal Magarça,838
338,11936,Santa Cruz,,regular,0,Circular,843
339,6790,Transcarioca,,regular,0,Circular,844
340,6557,Santa Cruz,,regular,0,Terminal Campo Grande,845
341,7423,Santa Cruz,,regular,1,Cantagalo,845
342,7515,Santa Cruz,,regular,0,Terminal Campo Grande,SN846
343,7662,Santa Cruz,,regular,1,Rio da Prata,SN846
344,7011,Santa Cruz,,regular,0,Terminal Campo Grande,847
345,7188,Santa Cruz,,regular,1,Rio da Prata,847
346,17829,Santa Cruz,,regular,0,Campo Grande,849
347,18731,Santa Cruz,,regular,1,Base Aérea de Santa Cruz,849
348,9559,Santa Cruz,,regular,0,Campo Grande,850
349,8984,Santa Cruz,,regular,1,Mendanha,850
350,11648,Santa Cruz,,regular,0,Escola Amazonas,851
351,5905,Santa Cruz,,regular,1,Terminal Campo Grande,851
352,25698,Santa Cruz,,regular,0,Ilha de Guaratiba,854
353,23088,Santa Cruz,,regular,1,Terminal Campo Grande,854
354,19680,Transcarioca,,regular,0,Curicica,861
355,17630,Transcarioca,,regular,1,Rio das Pedras,861
356,11354,Santa Cruz,,regular,0,Terminal Campo Grande,864
357,11243,Santa Cruz,,regular,1,Bangu,864
358,7913,Transcarioca,,regular,0,Terminal Taquara,865
359,7956,Transcarioca,,regular,1,Pau da Fome,865
360,40779,Santa Cruz,,regular,0,Circular,866
361,18341,Santa Cruz,,regular,1,Terminal Campo Grande,SV866
362,29567,Santa Cruz,,regular,0,Terminal Campo Grande,SE867
363,30677,Santa Cruz,,regular,1,Barra de Guaratiba,SE867
364,6713,Santa Cruz,,regular,0,Campo Grande,869
365,9067,Santa Cruz,,regular,1,Santa Margarida,869
366,14292,Santa Cruz,,regular,0,Santa Cruz,870
367,13857,Santa Cruz,,regular,1,Sepetiba,870
368,18632,Santa Cruz,,regular,1,Terminal Pingo D'Água,871
369,13534,Transcarioca,,regular,0,Terminal Alvorada,880
370,10619,Transcarioca,,regular,1,Rio das Pedras,880
371,11073,Santa Cruz,,regular,0,Circular,892
372,12246,Santa Cruz,,regular,0,Campo Grande,SN893
373,14161,Santa Cruz,,regular,1,Jardim Palmares,SN893
374,13376,Santa Cruz,,regular,0,Campo Grande,895
375,12811,Santa Cruz,,regular,1,Serrinha,895
376,25950,Santa Cruz,,regular,1,Terminal Campo Grande,SN857
377,13172,Santa Cruz,,regular,0,Terminal Pingo D'Água,SN897
378,14318,Santa Cruz,,regular,1,Santa Cruz,SN897
379,30262,Santa Cruz,,regular,0,Campo Grande,SN898
380,32657,Santa Cruz,,regular,1,Sepetiba,SN898
381,16212,Internorte,,regular,0,Irajá,905
382,17446,Internorte,,regular,1,Bonsucesso,905
383,28958,Internorte,,regular,0,Caju,906
384,23593,Internorte,,regular,1,Jardim América,906
385,14704,Internorte,,regular,0,Terminal Fundão,913
386,9518,Internorte,,regular,1,Metrô Del Castilho,913
387,14932,Internorte,,regular,0,Aeroporto Internacional,915
388,14222,Internorte,,regular,1,Bonsucesso,915
389,26510,Internorte,,regular,0,Bonsucesso,917
390,23704,Internorte,,regular,1,Realengo,917
391,23924,Internorte,,regular,0,Maré,919
392,21820,Internorte,,regular,1,Pavuna,919
393,22304,Internorte,,regular,0,Bonsucesso,920
394,21540,Internorte,,regular,1,Pavuna,920
